Rank,Country (or dependent territory),Population,Date,"% of worldpopulation",Source
65,Ecuador,15852800,10/24/14,0.22%,Official population clock
15,Egypt,87371100,10/24/14,1.21%,Official population clock
108,El Salvador,6401240,2014,0.09%,Official estimate
153,Equatorial Guinea,1430000,7/1/13,0.02%,Annual official estimate
107,Eritrea,6536000,7/1/14,0.09%,UN projection
156,Estonia,1315819,1/1/14,0.02%,Official estimate
14,Ethiopia,87952991,7/1/14,1.22%,Official projection
199,Federated States of Micronesia,101351,7/1/13,0.00%,Annual official estimate
161,Fiji,859178,7/1/13,0.01%,Annual official estimate
116,Finland,5468609,9/30/14,0.08%,Monthly official estimate
20,France,66048000,10/1/14,0.92%,Monthly official estimate
186,Franch Guyana,237549,1/1/11,0.00%,Official annual estimate
152,Gabon,1711000,7/1/14,0.02%,UN projection
149,Gambia,1882450,4/15/13,0.03%,Preliminary 2013 census result
125,Georgia,4490500,1/1/14,0.06%,Annual official estimate
16,Germany,80767000,12/31/13,1.12%,Official estimate
45,Ghana,27043093,7/1/14,0.38%,Official annual projection
78,Greece,10992589,1/1/14,0.15%,Official estimate
208,Greenland,56295,7/1/14,0.00%,Annual official estimate
196,Grenada,103328,5/12/11,0.00%,2011 census result
66,Guatemala,15806675,6/30/14,0.22%,Official estimate
82,Guinea,10628972,4/2/14,0.15%,Preliminary 2014 census result
151,Guinea-Bissau,1746000,7/1/14,0.02%,UN projection
164,Guyana,784894,7/1/10,0.01%,Annual official estimate
81,Haiti,10745665,2014,0.15%,Official projection
94,Honduras,8725111,7/1/14,0.12%,Annual official estimate
88,Hungary,9879000,1/1/14,0.14%,Annual official estimate
181,Iceland,328170,10/1/14,0.00%,Official quaterly estimate
2,India,1261420000,10/24/14,17.50%,Population clock
4,Indonesia,252164800,7/1/14,3.50%,Official estimate
17,Iran,77838800,10/24/14,1.08%,Official population clock
37,Iraq,36004552,7/1/14,0.50%,Official annual projection
121,Ireland,4609600,4/1/14,0.06%,Annual official estimate
96,Israel,8238300,8/31/14,0.11%,Official Monthly Estimate
23,Italy,60780377,4/30/14,0.84%,Monthly official estimate
141,Jamaica,2717991,12/31/13,0.04%,Annual official estimate
10,Japan,127090000,10/1/14,1.77%,Monthly official estimate
106,Jordan,6646840,10/24/14,0.09%,Official population clock
61,Kazakhstan,17330000,9/1/14,0.24%,Monthly official estimate
32,Kenya,41800000,7/1/13,0.58%,Annual official estimate
194,Kiribati,106461,7/1/13,0.00%,Annual official estimate
150,Kosovo,1816891,2014,0.03%,Official annual projection
136,Kuwait,3065850,7/1/11,0.04%,Official estimate
113,Kyrgyzstan,5776570,2014,0.08%,Official estimate
105,Lao People's Democratic Republic,6693300,7/1/14,0.09%,Annual official projection
148,Latvia,1991800,10/1/14,0.03%,Monthly official estimate
128,Lebanon,4104000,7/1/12,0.06%,Official estimate
144,Lesotho,2098000,7/1/14,0.03%,UN projection
126,Liberia,4397000,7/1/14,0.06%,UN projection
109,Libya,6253000,7/1/14,0.09%,UN projection
216,Liechtenstein,37132,12/31/13,0.00%,Semi annual official estimate
139,Lithuania,2927310,10/1/14,0.04%,Monthly official estimate
171,Luxembourg,549700,12/31/13,0.01%,Annual official estimate
145,"Macedonia, the former Yugoslav Republic of",2065769,12/31/13,0.03%,Official estimate
56,Madagascar,21263403,7/1/12,0.30%,Annual official estimate
67,Malawi,15805239,7/1/14,0.22%,Official annual projection
43,Malaysia,30378300,10/24/14,0.42%,Official population clock
180,Maldives,341848,7/1/14,0.00%,Official estimate
68,Mali,15768000,7/1/14,0.22%,UN projection
174,Malta,416055,11/20/11,0.01%,Preliminary 2011 census result
209,Marshall Islands,56086,7/1/13,0.00%,Annual official estimate
134,Mauritania,3545620,7/1/14,0.05%,Annual official estimate
157,Mauritius,1261208,7/1/14,0.02%,Official estimate
11,Mexico,119713203,7/1/14,1.66%,Official projection
133,"Moldova, Republic of",3557600,1/1/14,0.05%,Official estimate
